CurrentBlock,InteractionMode,ImageName,GlaucomaGroundTruth,GlaucomaDecision,Message,DecisionConfidenceLevel
PracticeBlock,NextPatchPredictionAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"sss",3
PracticeBlock,StaticAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"sss",3
