CurrentBlock,InteractionMode,ImageName,GlaucomaGroundTruth,GlaucomaDecision,Message,DecisionConfidenceLevel
PracticeBlock,StaticAOIAugmentationState,9025_OD_2021_widefield_report,G,S,"123123",3
PracticeBlock,InteractiveAOIAugmentationState,9025_OD_2021_widefield_report,G,S,"123123",3
