CurrentBlock,InteractionMode,ImageName,GlaucomaGroundTruth,GlaucomaDecision,Message,DecisionConfidenceLevel
PracticeBlock,StaticAOIAugmentationState,9071_OD_2021_widefield_report,G,G,definitely hahaha,3
PracticeBlock,InteractiveAOIAugmentationState,9071_OD_2021_widefield_report,G,S,Good,3
TestBlock,InteractiveAOIAugmentationState,RLS_051_OS_TC,S,S,nopoo,3
